PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
24,51,30,9,2,2,1,1,1,1,1,1,1,1,20,60,20,0,0,0,0,0,0,0,0,6,6,1,1,24000,5,25,2,43.08009153,26220,19.43589744,23400
57,0,50,10,10,10,5,5,3,3,2,2,4,4,50,30,0,17,0,0,3,0,0,0,0,2,2,5,4,24000,5,25,1,39.52552553,49950,37.50609756,24600
97,20,22,30,5,5,5,2,3,3,3,2,1,1,20,30,30,20,0,0,0,0,0,0,0,6,6,1,1,24000,4,42,2,43.77850163,46050,27.33980583,30900
169,22,17,11,19,16,6,3,2,2,1,1,2,2,40,57,0,3,0,0,0,0,0,0,0,4,5,1,2,24000,5,25,1,39.34166403,47415,19.671875,19200
245,20,14,11,10,10,7,6,6,5,6,5,3,4,18,19,17,14,9,7,5,4,3,2,2,4,3,3,3,24000,5,25,1,44.42526072,64725,41.95150115,51960
53,5,8,12,15,12,10,9,9,8,7,5,1,1,2,3,8,11,15,11,10,10,10,10,10,6,6,1,1,25000,3,44,2,33.83489681,79950,29.5384376,96390
61,10,27,16,20,11,4,1,2,2,6,1,1,1,12,33,7,11,11,1,5,5,7,4,4,6,6,5,2,25000,1,44,2,39.27769572,50775,45.10882957,58440
71,20,40,25,15,0,0,0,0,0,0,0,3,3,20,0,80,0,0,0,0,0,0,0,0,2,2,1,5,25000,9,52,2,27.10471204,28650,14.59259259,32400
110,17,23,17,10,7,6,5,4,4,2,5,2,3,5,50,30,15,0,0,0,0,0,0,0,4,5,2,4,25000,4,25,1,45.55423637,55590,21.76997579,30975
117,15,24,17,14,13,5,3,2,2,2,3,5,5,5,23,34,28,4,6,0,0,0,0,0,3,3,3,4,25000,5,24,2,41.6,50250,24.63669725,40875
132,10,26,14,11,13,13,3,2,2,3,3,1,1,30,30,22,0,14,0,0,0,0,4,0,6,5,2,2,25000,3,54,2,40.12313938,55425,40.85333333,33750
190,31,17,11,8,7,6,6,5,4,3,2,3,3,9,17,74,0,0,0,0,0,0,0,0,4,6,1,4,25000,2,31,1,47.72412765,50295,13.47129077,32655
207,10,30,30,10,7,6,3,1,1,1,1,1,1,50,50,0,0,0,0,0,0,0,0,0,3,5,1,3,25000,3,23,1,36.07880911,42825,17.2173913,17250
251,10,30,40,10,6,2,1,0,0,0,1,4,7,39,0,22,0,0,39,0,0,0,0,0,5,4,1,2,25000,3,32,2,29.50916497,36825,39.18423678,45105
269,30,9,12,23,4,2,3,2,2,3,10,1,1,40,40,20,0,0,0,0,0,0,0,0,6,4,1,2,25000,3,25,1,49.94573643,58050,25.09859155,21300
276,10,26,64,0,0,0,0,0,0,0,0,7,7,30,10,60,0,0,0,0,0,0,0,0,5,5,2,2,25000,5,34,2,16.17391304,31050,22.47619048,28350
