"Participant","Trial","Condition","Time","DesiredResponse","ActualResponse","Angle","CorrectResponse"
"sub32",50,"R2_3_3_2_0Y150.pct",2171,"Different","Different",150,"Correct"
"sub32",51,"3_3_4_2_0Y0.pct",1150,"Same","Same",0,"Correct"
"sub32",52,"R2_4_4_3_90Y0.pct",2124,"Different","Different",0,"Correct"
"sub32",53,"3_4_4_3_180Y100.pct",3386,"Same","Same",100,"Correct"
"sub32",54,"R2_4_4_2_180Y50.pct",1451,"Different","Different",50,"Correct"
"sub32",55,"3_3_3_2_0Y150.pct",2214,"Same","Same",150,"Correct"
"sub32",56,"2_4_4_2_0Y50.pct",1255,"Same","Same",50,"Correct"
"sub32",57,"R2_4_4_2_0Y150.pct",1336,"Different","Different",150,"Correct"
"sub32",58,"R3_4_3_2_90Y100.pct",2982,"Different","Different",100,"Correct"
"sub32",59,"2_3_4_2_90Y150.pct",2122,"Same","Same",150,"Correct"
"sub32",60,"3_4_3_2_90Y100.pct",2192,"Same","Same",100,"Correct"
"sub32",61,"2_4_4_3_90Y0.pct",946,"Same","Same",0,"Correct"
"sub32",62,"R2_4_4_2_180Y0.pct",2160,"Different","Different",0,"Correct"
"sub32",63,"R2_4_4_3_90Y50.pct",2250,"Different","Different",50,"Correct"
"sub32",64,"2_4_4_3_90Y50.pct",1644,"Same","Same",50,"Correct"
"sub32",65,"R2_4_4_2_180Y150.pct",3303,"Different","Different",150,"Correct"
"sub32",66,"3_3_3_3_90Y0.pct",1636,"Same","Same",0,"Correct"
"sub32",67,"3_3_3_3_180Y150.pct",2631,"Same","Same",150,"Correct"
"sub32",68,"R3_3_3_3_90Y0.pct",4490,"Different","Different",0,"Correct"
"sub32",69,"R3_3_3_2_0Y50.pct",3394,"Different","Different",50,"Correct"
"sub32",70,"2_4_4_2_180Y50.pct",1250,"Same","Same",50,"Correct"
"sub32",71,"2_4_4_2_0Y100.pct",2107,"Same","Same",100,"Correct"
"sub32",72,"R3_3_3_2_0Y100.pct",4020,"Different","Different",100,"Correct"
"sub32",73,"2_3_4_2_90Y100.pct",2055,"Same","Same",100,"Correct"
"sub32",74,"R3_3_3_3_180Y100.pct",3038,"Different","Different",100,"Correct"
"sub32",75,"3_3_3_3_90Y150.pct",3376,"Same","Same",150,"Correct"
"sub32",76,"R3_3_4_2_0Y0.pct",6773,"Different","Different",0,"Correct"
"sub32",77,"3_3_3_2_0Y0.pct",1113,"Same","Same",0,"Correct"
"sub32",78,"3_3_3_2_0Y50.pct",1673,"Same","Same",50,"Correct"
"sub32",79,"R3_3_3_3_180Y50.pct",3582,"Different","Different",50,"Correct"
"sub32",80,"R3_3_3_3_90Y150.pct",3363,"Different","Same",150,"Incorrect"
"sub32",81,"R3_4_4_3_180Y50.pct",2400,"Different","Different",50,"Correct"
"sub32",82,"2_3_4_2_90Y0.pct",899,"Same","Same",0,"Correct"
"sub32",83,"R3_3_4_2_0Y150.pct",2050,"Different","Different",150,"Correct"
"sub32",84,"3_3_4_2_0Y50.pct",3074,"Same","Different",50,"Incorrect"
"sub32",85,"2_4_4_2_180Y100.pct",1762,"Same","Same",100,"Correct"
"sub32",86,"R3_4_4_3_180Y0.pct",2014,"Different","Different",0,"Correct"
"sub32",87,"3_4_3_3_180Y150.pct",2498,"Same","Same",150,"Correct"
"sub32",88,"R3_4_4_3_180Y100.pct",1880,"Different","Different",100,"Correct"
"sub32",89,"R2_3_3_2_0Y100.pct",3001,"Different","Different",100,"Correct"
"sub32",90,"2_3_3_2_0Y50.pct",1612,"Same","Same",50,"Correct"
"sub32",91,"2_4_4_2_0Y0.pct",947,"Same","Same",0,"Correct"
"sub32",92,"3_4_3_2_90Y150.pct",2162,"Same","Same",150,"Correct"
"sub32",93,"R2_4_4_3_90Y150.pct",2853,"Different","Different",150,"Correct"
"sub32",94,"R3_4_3_2_90Y50.pct",2398,"Different","Different",50,"Correct"
"sub32",95,"2_3_3_2_0Y100.pct",2268,"Same","Same",100,"Correct"
"sub32",96,"R3_3_3_2_0Y0.pct",2283,"Different","Different",0,"Correct"
"sub33",1,"R2_3_3_2_0Y0.pct",2933,"Different","Different",0,"Correct"
"sub33",2,"R3_4_3_2_90Y150.pct",2232,"Different","Different",150,"Correct"
"sub33",3,"2_4_4_2_0Y150.pct",1396,"Same","Same",150,"Correct"
"sub33",4,"3_3_3_2_0Y100.pct",2302,"Same","Different",100,"Incorrect"
"sub33",5,"3_3_3_3_90Y50.pct",2837,"Same","Same",50,"Correct"
"sub33",6,"R2_4_4_2_0Y50.pct",2975,"Different","Different",50,"Correct"
"sub33",7,"R3_3_3_3_90Y100.pct",2451,"Different","Different",100,"Correct"
"sub33",8,"2_3_3_2_0Y0.pct",1331,"Same","Same",0,"Correct"
"sub33",9,"R3_4_3_3_180Y150.pct",5970,"Different","Different",150,"Correct"
"sub33",10,"2_4_4_2_180Y150.pct",2710,"Same","Same",150,"Correct"
"sub33",11,"R3_3_4_2_0Y50.pct",3157,"Different","Different",50,"Correct"
"sub33",12,"R2_3_4_2_90Y0.pct",1682,"Different","Different",0,"Correct"
"sub33",13,"3_3_3_3_180Y0.pct",1112,"Same","Same",0,"Correct"
"sub33",14,"R3_4_3_3_180Y100.pct",3048,"Different","Different",100,"Correct"
"sub33",15,"2_4_4_3_90Y100.pct",2295,"Same","Same",100,"Correct"
"sub33",16,"3_4_3_2_90Y50.pct",1768,"Same","Different",50,"Incorrect"
